sepal_length,sepal_width,petal_length,petal_width,species,check_missing
5.1,3.5,1.4,0.2,setosa,0.414206293
4.9,3,1.4,0.2,setosa,0.775305672
4.7,3.2,1.3,0.2,setosa,
4.6,3.1,1.5,0.2,setosa,
5,3.6,1.4,0.2,setosa,
5.4,3.9,1.7,0.4,setosa,
4.6,3.4,1.4,0.3,setosa,0.588238327
5,3.4,1.5,0.2,setosa,0.961340623
4.4,2.9,1.4,0.2,setosa,0.660351202
4.9,3.1,1.5,0.1,setosa,0.012182107
5.4,3.7,1.5,0.2,setosa,0.302305531
4.8,3.4,1.6,0.2,setosa,0.977496991
4.8,3,1.4,0.1,setosa,0.783646841
4.3,3,1.1,0.1,setosa,0.037961642
5.8,4,1.2,0.2,setosa,0.340301257
5.7,4.4,1.5,0.4,setosa,0.012511477
5.4,3.9,1.3,0.4,setosa,0.659623712
5.1,3.5,1.4,0.3,setosa,0.736634782
5.7,3.8,1.7,0.3,setosa,0.76317663
5.1,3.8,1.5,0.3,setosa,0.729935733
5.4,3.4,1.7,0.2,setosa,0.220894435
5.1,3.7,1.5,0.4,setosa,0.460507696
4.6,3.6,1,0.2,setosa,0.878528854
5.1,3.3,1.7,0.5,setosa,0.1631767
4.8,3.4,1.9,0.2,setosa,0.509256197
5,3,1.6,0.2,setosa,0.333546758
5,3.4,1.6,0.4,setosa,0.880550014
5.2,3.5,1.5,0.2,setosa,0.860018283
5.2,3.4,1.4,0.2,setosa,0.236053292
4.7,3.2,1.6,0.2,setosa,0.015712186
4.8,3.1,1.6,0.2,setosa,0.237414904
5.4,3.4,1.5,0.4,setosa,0.776285604
5.2,4.1,1.5,0.1,setosa,0.039850175
5.5,4.2,1.4,0.2,setosa,0.499898802
4.9,3.1,1.5,0.1,setosa,0.144620001
5,3.2,1.2,0.2,setosa,0.98264339
5.5,3.5,1.3,0.2,setosa,0.873226408
4.9,3.1,1.5,0.1,setosa,0.925073644
4.4,3,1.3,0.2,setosa,0.312850822
5.1,3.4,1.5,0.2,setosa,0.039769749
5,3.5,1.3,0.3,setosa,0.836880195
4.5,2.3,1.3,0.3,setosa,0.936178908
4.4,3.2,1.3,0.2,setosa,0.529498695
5,3.5,1.6,0.6,setosa,0.452433571
5.1,3.8,1.9,0.4,setosa,0.76479594
4.8,3,1.4,0.3,setosa,0.164999041
5.1,3.8,1.6,0.2,setosa,0.570561841
4.6,3.2,1.4,0.2,setosa,0.394660628
5.3,3.7,1.5,0.2,setosa,0.657364222
5,3.3,1.4,0.2,setosa,0.687025153
7,3.2,4.7,1.4,versicolor,0.737362712
6.4,3.2,4.5,1.5,versicolor,0.506244417
6.9,3.1,4.9,1.5,versicolor,0.751302074
5.5,2.3,4,1.3,versicolor,0.712705722
6.5,2.8,4.6,1.5,versicolor,0.206485629
5.7,2.8,4.5,1.3,versicolor,0.633335787
6.3,3.3,4.7,1.6,versicolor,0.502570031
4.9,2.4,3.3,1,versicolor,0.579138257
6.6,2.9,4.6,1.3,versicolor,0.794570999
5.2,2.7,3.9,1.4,versicolor,0.973931422
5,2,3.5,1,versicolor,0.106298617
5.9,3,4.2,1.5,versicolor,0.211835472
6,2.2,4,1,versicolor,0.404798423
6.1,2.9,4.7,1.4,versicolor,0.065914944
5.6,2.9,3.6,1.3,versicolor,0.775440223
6.7,3.1,4.4,1.4,versicolor,0.339652448
5.6,3,4.5,1.5,versicolor,0.376904598
5.8,2.7,4.1,1,versicolor,0.343528289
6.2,2.2,4.5,1.5,versicolor,0.632647314
5.6,2.5,3.9,1.1,versicolor,0.699533584
5.9,3.2,4.8,1.8,versicolor,0.778388396
6.1,2.8,4,1.3,versicolor,0.692678097
6.3,2.5,4.9,1.5,versicolor,0.804904763
6.1,2.8,4.7,1.2,versicolor,0.445039349
6.4,2.9,4.3,1.3,versicolor,0.612615669
6.6,3,4.4,1.4,versicolor,0.061108168
6.8,2.8,4.8,1.4,versicolor,0.921205926
6.7,3,5,1.7,versicolor,0.65330493
6,2.9,4.5,1.5,versicolor,0.847083508
5.7,2.6,3.5,1,versicolor,0.179960825
5.5,2.4,3.8,1.1,versicolor,0.292858909
5.5,2.4,3.7,1,versicolor,0.322200988
5.8,2.7,3.9,1.2,versicolor,0.556364568
6,2.7,5.1,1.6,versicolor,0.320612332
5.4,3,4.5,1.5,versicolor,0.393091326
6,3.4,4.5,1.6,versicolor,0.305364894
6.7,3.1,4.7,1.5,versicolor,0.726531238
6.3,2.3,4.4,1.3,versicolor,0.262615382
5.6,3,4.1,1.3,versicolor,0.405575986
5.5,2.5,4,1.3,versicolor,0.542495485
5.5,2.6,4.4,1.2,versicolor,0.772105893
6.1,3,4.6,1.4,versicolor,0.563889062
5.8,2.6,4,1.2,versicolor,0.849219666
5,2.3,3.3,1,versicolor,0.426172872
5.6,2.7,4.2,1.3,versicolor,0.318701233
5.7,3,4.2,1.2,versicolor,0.487608136
5.7,2.9,4.2,1.3,versicolor,0.973460809
6.2,2.9,4.3,1.3,versicolor,0.225214516
5.1,2.5,3,1.1,versicolor,0.277544891
5.7,2.8,4.1,1.3,versicolor,0.422195317
6.3,3.3,6,2.5,virginica,0.608590845
5.8,2.7,5.1,1.9,virginica,0.947016607
7.1,3,5.9,2.1,virginica,0.630781342
6.3,2.9,5.6,1.8,virginica,0.160657276
6.5,3,5.8,2.2,virginica,0.159910168
7.6,3,6.6,2.1,virginica,0.60957231
4.9,2.5,4.5,1.7,virginica,0.019193012
7.3,2.9,6.3,1.8,virginica,0.600672968
6.7,2.5,5.8,1.8,virginica,0.056897757
7.2,3.6,6.1,2.5,virginica,0.725418599
6.5,3.2,5.1,2,virginica,0.613018508
6.4,2.7,5.3,1.9,virginica,0.009803833
6.8,3,5.5,2.1,virginica,0.684175694
5.7,2.5,5,2,virginica,0.278419839
5.8,2.8,5.1,2.4,virginica,0.218821479
6.4,3.2,5.3,2.3,virginica,0.433540815
6.5,3,5.5,1.8,virginica,0.885515425
7.7,3.8,6.7,2.2,virginica,0.720591259
7.7,2.6,6.9,2.3,virginica,0.470886689
6,2.2,5,1.5,virginica,0.432688297
6.9,3.2,5.7,2.3,virginica,0.780743066
5.6,2.8,4.9,2,virginica,0.838006231
7.7,2.8,6.7,2,virginica,0.65369537
6.3,2.7,4.9,1.8,virginica,0.832930564
6.7,3.3,5.7,2.1,virginica,0.850926257
7.2,3.2,6,1.8,virginica,0.598918239
6.2,2.8,4.8,1.8,virginica,0.590062135
6.1,3,4.9,1.8,virginica,0.480417425
6.4,2.8,5.6,2.1,virginica,0.388589511
7.2,3,5.8,1.6,virginica,0.724290471
7.4,2.8,6.1,1.9,virginica,0.087369328
7.9,3.8,6.4,2,virginica,0.898418962
6.4,2.8,5.6,2.2,virginica,0.664612361
6.3,2.8,5.1,1.5,virginica,0.452852991
6.1,2.6,5.6,1.4,virginica,0.82771716
7.7,3,6.1,2.3,virginica,0.430640596
6.3,3.4,5.6,2.4,virginica,0.843580084
6.4,3.1,5.5,1.8,virginica,0.066674664
6,3,4.8,1.8,virginica,0.215963445
6.9,3.1,5.4,2.1,virginica,0.421948001
6.7,3.1,5.6,2.4,virginica,0.662300655
6.9,3.1,5.1,2.3,virginica,0.820476364
5.8,2.7,5.1,1.9,virginica,0.230130532
6.8,3.2,5.9,2.3,virginica,0.873595649
6.7,3.3,5.7,2.5,virginica,0.561410632
6.7,3,5.2,2.3,virginica,0.365235612
6.3,2.5,5,1.9,virginica,0.558209293
6.5,3,5.2,2,virginica,0.854688377
6.2,3.4,5.4,2.3,virginica,0.933212771
5.9,3,5.1,1.8,virginica,0.358340844
